Season-Episode,subject
S19E11,deciduous
S19E12,deciduous
S20E01,deciduous
S20E03,deciduous
S20E04,deciduous
S20E08,deciduous
S20E10,deciduous
S20E11,deciduous
S20E12,deciduous
S21E02,deciduous
S21E04,deciduous
S21E05,deciduous
S21E08,deciduous
S22E01,deciduous
S22E04,deciduous
S22E05,deciduous
S22E06,deciduous
S22E08,deciduous
S23E01,deciduous
S23E02,deciduous
S23E04,deciduous
S23E05,deciduous
S23E06,deciduous
S23E07,deciduous
S23E09,deciduous
S23E10,deciduous
S23E11,deciduous
S23E13,deciduous
S24E02,deciduous
S24E03,deciduous
S24E04,deciduous
S24E05,deciduous
S24E07,deciduous
S24E08,deciduous
S24E09,deciduous
S24E12,deciduous
S24E13,deciduous
S25E02,deciduous
S25E04,deciduous
S25E07,deciduous
S25E08,deciduous
S25E09,deciduous
S25E13,deciduous
S26E02,deciduous
S26E04,deciduous
S26E05,deciduous
S26E07,deciduous
S26E08,deciduous
S26E09,deciduous
S27E01,deciduous
S27E03,deciduous
S27E06,deciduous
S27E08,deciduous
S27E10,deciduous
S27E11,deciduous
S27E12,deciduous
S28E02,deciduous
S28E04,deciduous
S28E05,deciduous
S28E07,deciduous
S28E08,deciduous
S28E10,deciduous
S28E13,deciduous
S29E04,deciduous
S29E05,deciduous
S29E07,deciduous
S29E08,deciduous
S30E01,deciduous
S30E02,deciduous
S30E04,deciduous
S30E05,deciduous
S30E07,deciduous
S30E09,deciduous
S30E12,deciduous
S31E04,deciduous
S31E07,deciduous
S31E08,deciduous
S31E11,deciduous
S31E12,deciduous
S31E13,deciduous
S04E11,diane_andre
S07E12,dock
S16E05,double_oval_frame
S27E05,farm
S01E03,fence
S01E09,fence
S03E11,fence
S06E10,fence
S08E07,fence
S09E08,fence
S10E02,fence
S11E03,fence
S11E12,fence
S14E04,fence
S15E03,fence
S16E09,fence
S17E02,fence
S19E07,fence
S19E12,fence
S20E02,fence
S23E01,fence
S24E13,fence
S25E07,fence
S25E13,fence
S26E02,fence
S27E05,fence
S27E08,fence
S28E05,fence
S03E10,fire
S21E13,florida_frame
S05E03,flowers
S11E03,flowers
S16E12,flowers
S17E05,flowers
S17E09,flowers
S17E13,flowers
S21E04,flowers
S22E01,flowers
S22E03,flowers
S26E05,flowers
S27E06,flowers
S29E10,flowers
S06E02,fog
S06E03,fog
S08E01,fog
S09E05,fog
S12E01,fog
S14E05,fog
S14E12,fog
S16E01,fog
S16E04,fog
S17E01,fog
S17E11,fog
S18E07,fog
S20E04,fog
S20E13,fog
S21E02,fog
S25E06,fog
S26E01,fog
S27E01,fog
S27E08,fog
S27E13,fog
S28E09,fog
S28E10,fog
S31E12,fog
S04E04,framed
S08E02,framed
S08E09,framed
S09E05,framed
S10E09,framed
S10E11,framed
S11E06,framed
S11E08,framed
S12E12,framed
S13E03,framed
